"Date","symbol","buy_and_hold","sma20_50","rsi_mean_reversion"
"2017-08-17","BTCUSDT","10000","10000","10000"
"2017-08-18","BTCUSDT","9587.61563378047","10000","10000"
"2017-08-19","BTCUSDT","9661.3832180496","10000","10000"
"2017-08-20","BTCUSDT","9536.0880076918","10000","10000"
"2017-08-21","BTCUSDT","9372.0537306188","10000","10000"
"2017-08-22","BTCUSDT","9428.0620198456","10000","10000"
"2017-08-23","BTCUSDT","9600.77758174876","10000","10000"
"2017-08-24","BTCUSDT","10072.180682741","10000","10000"
"2017-08-25","BTCUSDT","9989.73181364175","10000","10000"
"2017-08-26","BTCUSDT","10122.1914176631","10000","10000"
"2017-08-27","BTCUSDT","10058.1786104343","10000","10000"
"2017-08-28","BTCUSDT","10237.125094514","10000","10000"
"2017-08-29","BTCUSDT","10705.7044442577","10000","10000"
"2017-08-30","BTCUSDT","10630.2332745246","10000","10000"
"2017-08-31","BTCUSDT","11026.3752368684","10000","10000"
"2017-09-01","BTCUSDT","11283.1265693989","10000","10000"
"2017-09-02","BTCUSDT","10436.5379409486","10000","10000"
"2017-09-03","BTCUSDT","10522.7440327835","10000","10000"
"2017-09-04","BTCUSDT","9568.33944757157","10000","10000"
"2017-09-05","BTCUSDT","10189.9381108404","10000","10000"
"2017-09-06","BTCUSDT","10781.058930055","10000","10000"
"2017-09-07","BTCUSDT","10948.7104091405","10000","10000"
"2017-09-08","BTCUSDT","9994.67921252345","10000","10000"
"2017-09-09","BTCUSDT","9938.69426008382","10000","10000"
"2017-09-10","BTCUSDT","9638.9565655717","10000","10000"
"2017-09-11","BTCUSDT","9821.2168734306","10000","10000"
"2017-09-12","BTCUSDT","9716.78475080978","10000","10000"
"2017-09-13","BTCUSDT","9205.63910125365","10000","10000"
"2017-09-14","BTCUSDT","7442.14810458614","10000","10000"
"2017-09-15","BTCUSDT","8634.61125579919","10000","11597.3104276549"
"2017-09-16","BTCUSDT","8669.49975263005","10000","11644.1698305991"
"2017-09-17","BTCUSDT","8634.58791901201","10000","11597.2790835727"
"2017-09-18","BTCUSDT","9416.41696304386","10000","12647.3685266735"
"2017-09-19","BTCUSDT","9124.77713368245","10000","12255.6615309589"
"2017-09-20","BTCUSDT","9101.3469993559","10000","12224.192072393"
"2017-09-21","BTCUSDT","8424.55683441149","10000","11315.1823434405"
"2017-09-22","BTCUSDT","8391.60529091639","10000","11270.924499322"
"2017-09-23","BTCUSDT","8821.30555322188","10000","11848.0630855501"
"2017-09-24","BTCUSDT","8541.31078066221","10000","11471.9967868718"
"2017-09-25","BTCUSDT","9149.77083274991","10000","12289.2310430346"
"2017-09-26","BTCUSDT","9060.15756998703","10000","12168.8697672449"
"2017-09-27","BTCUSDT","9785.11486366649","10000","13142.5736819343"
"2017-09-28","BTCUSDT","9741.94180738749","10000","13084.587129796"
"2017-09-29","BTCUSDT","9742.38520634387","10000","13085.1826673585"
"2017-09-30","BTCUSDT","10218.0356026025","10000","13724.0377515111"
"2017-10-01","BTCUSDT","10217.965592241","10000","13717.1757326354"
"2017-10-02","BTCUSDT","10221.512783892","10000","13717.1757326354"
"2017-10-03","BTCUSDT","10058.1552736472","10000","13717.1757326354"
"2017-10-04","BTCUSDT","9821.49691487673","10000","13717.1757326354"
"2017-10-05","BTCUSDT","10017.1525385757","10000","13717.1757326354"
"2017-10-06","BTCUSDT","10195.8423179964","10000","13717.1757326354"
"2017-10-07","BTCUSDT","10321.8609687567","10000","13717.1757326354"
"2017-10-08","BTCUSDT","10828.2692505157","10000","13717.1757326354"
"2017-10-09","BTCUSDT","11171.203338094","10000","13717.1757326354"
"2017-10-10","BTCUSDT","11162.1253278819","10000","13717.1757326354"
"2017-10-11","BTCUSDT","11251.6685802832","10000","13717.1757326354"
"2017-10-12","BTCUSDT","12671.8754375648","11257.2188852685","13717.1757326354"
"2017-10-13","BTCUSDT","13185.2380819028","11713.2710050441","13717.1757326354"
"2017-10-14","BTCUSDT","13698.6707366024","12169.3853193991","13717.1757326354"
"2017-10-15","BTCUSDT","13325.282141757","11837.6808955238","13717.1757326354"
"2017-10-16","BTCUSDT","13442.0360880077","11941.4007225643","13717.1757326354"
"2017-10-17","BTCUSDT","13056.932425999","11599.2890723899","13717.1757326354"
"2017-10-18","BTCUSDT","12863.3771131461","11427.3417916635","13717.1757326354"
"2017-10-19","BTCUSDT","13264.39646401","11783.5923429056","13717.1757326354"
"2017-10-20","BTCUSDT","14025.4324306664","12459.668153343","13717.1757326354"
"2017-10-21","BTCUSDT","14060.3442642844","12490.6825169753","13717.1757326354"
"2017-10-22","BTCUSDT","13885.4350443866","12335.2997259162","13717.1757326354"
"2017-10-23","BTCUSDT","13805.8799368973","12264.6259521043","13717.1757326354"
"2017-10-24","BTCUSDT","12781.6283476621","11354.7192543613","13717.1757326354"
"2017-10-25","BTCUSDT","13278.6085674013","11796.2178425394","13717.1757326354"
"2017-10-26","BTCUSDT","13679.4878975422","12152.3440046225","13717.1757326354"
"2017-10-27","BTCUSDT","13462.5957975114","11959.6651974039","13717.1757326354"
"2017-10-28","BTCUSDT","13347.8021413836","11857.6868185888","13717.1757326354"
"2017-10-29","BTCUSDT","14398.7510151502","12791.3103826388","13717.1757326354"
"2017-10-30","BTCUSDT","14283.2805921943","12688.7307895554","13717.1757326354"
"2017-10-31","BTCUSDT","15082.5655530352","13398.7855719135","13717.1757326354"
